date,player,team,claim_type,direction,quote,source_file
2026-06-29,Brandon Miller,CHA,role,up,"LaMelo (30+ usage) gone; 'can Miller become a 30 plus usage guy with five assists attempting six seven free throws' — probable usage bump, watch ast/FT-rate",2026-06-30-nba-roles.md
2026-06-29,Coby White,CHA,role,up,re-signed; assumed starting PG but 'White's not taking all of LaMelo's role',2026-06-30-nba-roles.md
2026-06-29,Kon Knueppel,CHA,role,up,"'probably more for Knueppel to do' (garbled 'Canipple' in transcript) — mild, no mechanism beyond the shared vacancy",2026-06-30-nba-roles.md
2026-06-29,Ryan Rollins,MIL,rank,up,"'excellent... top 50 fantasy guy without Giannis there most of the season' (25 usg, 5.5 ast, 1.5 stl, 40% 3PT) — but trade-asset risk explicitly flagged",2026-06-30-nba-roles.md
2026-06-29,Tyler Herro,MIL,role,up,"traded in; 'will take on some of this creation role. But does he even stay on the team?' — role up, stability down",2026-06-30-nba-roles.md
2026-06-29,Kevin Porter Jr.,MIL,role,up,back; creation share candidate; 'missed most of last season',2026-06-30-nba-roles.md
2026-06-29,Ty Jerome,MEM,role,up,"Ja gone; 'is it Jerome? ...he's got to be the leader in that position, but it's also not remotely close to being a guarantee' — probable starting PG",2026-06-30-nba-roles.md
2026-06-29,Cam Boozer,MEM,role,up,"'does Boozer just take on the number one or number two playmaking role? Probably... gets an assist rate bump' (rookie — market-seeded only, NOT on the learned board; entry deferred to the Oct sheet)",2026-06-30-nba-roles.md
2026-06-29,Isaiah Stewart,MEM,role,up,traded to Memphis; 'their perhaps starter if Edey's not healthy and backup center'; near all-defensive,2026-06-30-nba-roles.md
2026-06-29,Day'Ron Sharpe,BKN,role,up,Claxton gone; re-signed 2yr/$20M; 'per-minute monster... if we just give him 26 a night he's going to be a top 100 player' — hedges: Nets may add a center; 9-cat rankings will overrate him (we are points),2026-06-30-nba-roles.md
2026-06-29,Danny Wolf,BKN,role,up,same vacancy but 'pretty poor efficiency guy right across the board',2026-06-30-nba-roles.md
2026-06-29,Paul Reed,DET,role,mixed,"'per-minute beast... if he was the unquestioned starter, clearly fantasy draftable — but no way Detroit goes into a season with Reed as their only center' (Sabonis/Duren/Robinson arrival expected)",2026-06-30-nba-roles.md
2026-06-29,Jalen Duren,DET,depth,mixed,unsigned (max talks); Lakers/Kings sign-and-trade rumors; 'I'd rather have Duren than Sabonis personally',2026-06-30-nba-roles.md
2026-06-29,Domantas Sabonis,SAC,depth,mixed,rumored sign-and-trade to Detroit for Duren — pure rumor at recording,2026-06-30-nba-roles.md
2026-06-29,Keegan Murray,SAC,role,up,conditional: 'we assume DeRozan is gone so Keegan Murray can do more' — not yet fact,2026-06-30-nba-roles.md
2026-06-29,Brook Lopez,LAC,role,mixed,"Zubac traded away; 'pretty washed'; '30 minutes of Brook Lopez probably is okay as a late round guy, but if it can push to 22 because they want to split it with Konan Niederhauser, then he's useless'",2026-06-30-nba-roles.md
2026-06-29,Yanic Konan Niederhauser,LAC,injury,down,"'broke his foot... in like March... probably unlikely available for opening night, and even if he is he'd be eased back slowly' — overrides.yaml candidate once the season schedule exists",2026-06-30-nba-roles.md
2026-06-29,Isaiah Jackson,LAC,role,up,"'much like Sharpe, a per-minute beast... just not good enough to get enough minutes usually. But what if it's just him and Brook?'",2026-06-30-nba-roles.md
2026-06-29,Kristaps Porzingis,GSW,depth,mixed,"re-signed GSW 2yr/$40M (news broke during recording); center rotation crowded (Horford back, Draymond small-ball)",2026-06-30-nba-roles.md
2026-06-29,Neemias Queta,BOS,role,up,"'really good last season... if you don't bring anyone else in and Queta's a 29(-minute) player, then he's a draftable guy' — conditional on Boston not adding",2026-06-30-nba-roles.md
2026-06-29,Jaden McDaniels,MIN,role,up,"'Jaden McDaniels just shifts up now, he's the starting power forward... probably true' — agreement with our board, no new mechanism",2026-06-30-nba-roles.md
2026-06-29,Alex Sarr,WAS,role,up,conditional on Butler-to-GSW dominoes: 'Alex Sarr is your starting center'; Kyshawn George 'gets a starting role again next to AJ Dybantsa',2026-06-30-nba-roles.md
2026-06-29,Kyshawn George,WAS,role,up,conditional (same domino): starting role helps George,2026-06-30-nba-roles.md
2026-07-08,Anthony Edwards,MIN,usage,down,"LaMelo joins Minnesota; 'probably doesn't stay a 29 ppg guy, maybe 27'; threes already fell 4.1->3.4 and coexistence with LaMelo may push lower",2026-07-08-regression-risks
2026-07-08,Tyrese Maxey,PHI,usage,down,'Brown and Maxi are not remaining top five scorers cuz if you're playing on the same team' — Brown arrival compresses Maxey's usage 'to a lesser extent',2026-07-08-regression-risks
2026-07-08,Jaylen Brown,PHI,usage,down,'almost impossible he'll be anywhere near 28.7' now that his teammate is Maxey not the departed co-star (fuller PHI detail in 07-13 ep),2026-07-08-regression-risks
2026-07-08,Coby White,CHA,role,mixed,"starting PG in Charlotte, 'move into a larger role' but 'usage will drop' vs his Chicago numbers; provides nothing in steals (.5) or blocks (.1)",2026-07-08-regression-risks
2026-07-08,Mitchell Robinson,BOS,depth,down,"'People are going to assume he starts for the Celtics. I don't think he will'; 5.7 ppg, 40.8% FT",2026-07-08-regression-risks
2026-07-08,Darius Garland,LAL,role,up,"'Sexton and Garland now both in LA, different teams'; 'more usage-wise in LA with Kawhi gone'; 30->32 mpg; noted chronically bad rebounder",2026-07-08-regression-risks
2026-07-08,Trae Young,ATL,role,up,worst rebounder in top 200 but only ~25 mpg; 'almost certainly play 33 to 35'; assists could climb back toward 11,2026-07-08-regression-risks
2026-07-08,Cade Cunningham,DET,role,up,'could go over 10 assists given the absolute lack of creation options'; highest potential assists/100 at 24.7 — 'meat on the bone',2026-07-08-regression-risks
2026-07-08,Josh Giddey,CHI,role,up,'Josh Giddy who doesn't play with Dumu or Coby White — could he hit 10 [assists]?' — vacated ball-handling in Chicago,2026-07-08-regression-risks
2026-07-08,Dyson Daniels,ATL,rank,down,steals regression: 'more likely he goes from 3 steals to 2 than maintains 3' (still 4th-best in NBA at 2),2026-07-08-regression-risks
2026-07-13,Kawhi Leonard,TOR,injury,mixed,traded to Raptors (official pending the investigation penalties); 'don't believe in the knees'; per game 'probably top 10'; availability should be known by draft,2026-07-13-top-players-on-new-teams
2026-07-13,Giannis Antetokounmpo,MIL,role,up,"stays Milwaukee; played only 29 mpg last year (injury); 'should be a 32-minute player at least, that's 10% more minutes'; aggression/FG% could rise",2026-07-13-top-players-on-new-teams
2026-07-13,Walker Kessler,LAL,role,up,"traded to Lakers; '31 minutes a night, assume similar if not more'; backups terrible (Looney not a real backup C); 'going to have to play a lot'; 3PT attempt-rate 7%->20% won't hold (FG%/scoring drop); 14/11/3",2026-07-13-top-players-on-new-teams
2026-07-13,Jaylen Brown,PHI,usage,down,traded to Philadelphia; 36% usage/34 mpg in Boston 'comes down maybe to 30 to 28'; weak passer/rebounder/3PT/FT/steals/blocks; baseline = his alongside-Tatum seasons,2026-07-13-top-players-on-new-teams
2026-07-13,LaMelo Ball,MIN,role,mixed,traded to Minnesota; only 28 mpg last year (ankle caution/tanking-driven rest); 'those minutes should go up'; 'usage almost certainly goes down but might improve efficiency'; Minnesota competitive so he plays,2026-07-13-top-players-on-new-teams
2026-07-13,LeBron James,CLE,role,mixed,"team unknown (assumes Cleveland alongside Mitchell/Harden); 33 mpg / 21 ppg last year; role & scoring 'pretty much on par'; 41yo, will preserve himself",2026-07-13-top-players-on-new-teams
2026-07-13,Julius Randle,BKN,role,up,"traded to Brooklyn; 27 usage/33 mpg; shares with MPJ; 'usage jump from 27 to 29 maybe'; 'five assists become six, maybe six-seven'; efficiency could drop; Nets have tank/rest incentive",2026-07-13-top-players-on-new-teams
2026-07-13,Paul George,BOS,usage,up,traded to Boston; 23 usage/31 mpg behind Maxey+Embiid last year; now clear #2 behind Tatum; 'could the 23 usage become 25 again... I think it just goes higher'; chronic knee risk,2026-07-13-top-players-on-new-teams
2026-07-13,Nikola Vucevic,ORL,depth,down,"traded to Orlando; 'he will be now the backup center in Orlando. So we will not be drafting him at all in any 10, 12, or maybe even 14 team leagues'",2026-07-13-top-players-on-new-teams
2026-07-13,Ja Morant,POR,depth,down,"traded to Portland; crowded backcourt (Lillard, Drew Holiday, Sharpe, Scoot, Abdija); 'not touching him inside the top 50, maybe even not the top 80'",2026-07-13-top-players-on-new-teams
2026-07-13,Naz Reid,CHA,role,up,traded to Charlotte; 'he'll be the starting four... probably play 33 minutes'; 'a lot of usage with no LaMelo Ball or Miles Bridges there',2026-07-13-top-players-on-new-teams
2026-07-13,Miles Bridges,PHX,role,mixed,traded to Phoenix; 'should be sort of similar to what he was'; gives them forward size; Dylan Brooks plays less at the 4,2026-07-13-top-players-on-new-teams
2026-07-13,Grayson Allen,CHA,depth,down,traded to Charlotte; 'Allen's a bench player. He won't be a factor' behind White/Miller/Nas Reed/Kadipple; 40.3 FG% could bounce back,2026-07-13-top-players-on-new-teams
2026-07-13,John Collins,DET,role,up,"traded to Detroit (Pistons); 'more stability... might get more usage, might play more minutes... should be better' though not prime-level",2026-07-13-top-players-on-new-teams
2026-07-13,Santi Aldama,DAL,depth,down,traded to Dallas; buried behind PJ Washington / Naji Marshall / Cooper Flagg / M. Johnson at the 4; 'needs to be starting and playing 28 minutes... almost no shot this season',2026-07-13-top-players-on-new-teams
2026-07-13,Brandon Ingram,LAC,role,up,assumed Clippers (Kawhi gone); 'that team is not going to be good'; lead scorer by default; 'not a picture of health',2026-07-13-top-players-on-new-teams
2026-07-13,Norman Powell,CHI,role,up,"traded to Chicago; usage-light room (Buzelis/Wilson low usage, Giddey not high usage); 'possible he has a pretty big impact, but he doesn't do anything apart from score'",2026-07-13-top-players-on-new-teams
2026-07-13,Jusuf Nurkic,UTA,role,up,Kessler's vacated Utah center minutes 'probably filled by Ysuf Nerk'; hedged ('I don't know'); doubts full-time young-big lineups,2026-07-13-top-players-on-new-teams
2026-07-13,Tyler Herro,MIL,depth,mixed,"crowded Milwaukee guard room (Porter, Rollins, Herro, Chonas/Chonyaris, Burries); 'won't be the point guard'; 'not sure that he plays more minutes'; Bucks projected bad",2026-07-13-top-players-on-new-teams
2026-07-13,VJ Edgecombe,PHI,role,down,rookie; Brown arrival could push 'Edge to become a below-20% usage guy' (rookie — NOT on the learned board; entry deferred to the Oct sheet),2026-07-13-top-players-on-new-teams
2026-07-14,Nickeil Alexander-Walker,ATL,role,up,"10th per game post-ASB at 34 mpg (22 pts, 3.5 threes, 1.6 stl); 'a lot of the conditions that enabled it are still there' — Trae traded and not replaced, 'Kingston Flemings is not starting over him'; the 51/45/94 shooting 'we have to cut off'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Cooper Flagg,DAL,role,up,"16th post-deadline, 31 usage in 32 mpg, 'fully-fledged budding superstar'; Kyrie's return may trim usage but 'they don't really have anyone who handles the ball apart from Kyrie'; year-2 efficiency should rise",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Kyrie Irving,DAL,injury,mixed,returning — 'he'll be there opening night but will they trade him? I don't know' — the swing factor on Flagg's usage,2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Darius Garland,LAC,role,up,"traded to Clippers AT the deadline and stays; Kawhi gone, lower-usage Ingram in; 'almost certainly the number one ball handler'; 37th per game post-deadline (34 fpts in 29 mpg); 'if healthy he should play 32'; Hachimura-for-Collins an offensive downgrade",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Kyle Filipowski,UTA,role,down,"39th post-deadline was Utah tank chaos ('Filipowski was their center' amid 40-48-min absurdity); now Nurkic 'I would expect the starting center', team 'good and probably makes the playoffs'; 'not going to roll 24 usage and be a top 40 player — almost impossible'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Reed Sheppard,HOU,role,down,"45th post-deadline in 29 mpg with no VanVleet/Adams; now VanVleet back, Tate returns, Adams takes the 5, Smart + Bogdanovic added — 'the opportunity for 29 minutes... I don't think it exists. I really don't'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Matas Buzelis,CHI,role,up,"50th post-deadline (19-7, 3 threes, ~2 blk) — 'he showed us what he can do'; '31 could jump to 33 minutes' but 25 usage may dip (Giddey/Powell 1-2, Caleb Wilson starting) and blocks soften at the 3",2026-07-14-if-late-season-surges-maintain.md
