rank,name,pos,team,source_total,gp,pts,reb,ast,stl,blk,tov,provenance
1,Nikola Jokic,C,DEN,60.92,72,28.4,12.7,10.4,1.6,0.7,3.5,"User-supplied projection from another user; original author and scoring settings unknown."
2,Luka Doncic,PG/SG,LAL,57.11,68,32.7,8.7,8.8,1.7,0.5,4.0,"User-supplied projection from another user; original author and scoring settings unknown."
3,Giannis Antetokounmpo,PF/C,MIA,56.60,69,31.4,11.9,6.5,1.0,1.1,3.3,"User-supplied projection from another user; original author and scoring settings unknown."
4,Victor Wembanyama,C,SAS,53.88,66,25.6,11.8,3.6,1.1,3.2,2.9,"User-supplied projection from another user; original author and scoring settings unknown."
5,Shai Gilgeous-Alexander,PG,OKC,51.33,71,32.1,4.7,6.5,1.6,0.9,2.3,"User-supplied projection from another user; original author and scoring settings unknown."
6,Cade Cunningham,PG/SG,DET,46.92,68,25.0,5.8,9.8,1.3,0.8,4.1,"User-supplied projection from another user; original author and scoring settings unknown."
7,Jayson Tatum,SF/PF,BOS,46.64,68,26.1,8.8,6.1,1.2,0.5,2.8,"User-supplied projection from another user; original author and scoring settings unknown."
8,Anthony Davis,PF/C,WAS,46.33,65,22.5,10.9,3.2,1.1,1.9,2.1,"User-supplied projection from another user; original author and scoring settings unknown."
9,Jalen Johnson,SF/PF,ATL,45.02,72,21.4,10.2,6.9,1.4,0.6,3.3,"User-supplied projection from another user; original author and scoring settings unknown."
10,Cooper Flagg,SG/SF/PF,DAL,43.19,72,23.3,7.3,4.9,1.3,1.0,2.2,"User-supplied projection from another user; original author and scoring settings unknown."
11,Alperen Sengun,PF/C,HOU,43.13,72,20.5,10.0,5.7,1.2,1.0,3.0,"User-supplied projection from another user; original author and scoring settings unknown."
12,Scottie Barnes,SF/PF/C,TOR,42.09,80,19.4,7.9,6.1,1.5,1.3,2.8,"User-supplied projection from another user; original author and scoring settings unknown."
13,Donovan Mitchell,PG/SG,CLE,42.03,72,26.9,4.7,5.4,1.5,0.3,2.6,"User-supplied projection from another user; original author and scoring settings unknown."
14,Anthony Edwards,PG/SG,MIN,42.03,74,28.7,5.6,3.5,1.2,0.7,3.0,"User-supplied projection from another user; original author and scoring settings unknown."
15,Karl-Anthony Towns,PF/C,NYK,41.50,73,21.3,11.8,3.5,0.9,0.6,2.5,"User-supplied projection from another user; original author and scoring settings unknown."
16,Paolo Banchero,PF,ORL,41.30,73,24.3,8.3,5.2,0.8,0.6,3.1,"User-supplied projection from another user; original author and scoring settings unknown."
17,Evan Mobley,PF/C,CLE,40.89,72,19.3,9.6,3.6,0.8,1.8,2.1,"User-supplied projection from another user; original author and scoring settings unknown."
18,Tyrese Maxey,PG,PHI,40.51,70,24.2,3.4,5.8,1.8,0.5,2.2,"User-supplied projection from another user; original author and scoring settings unknown."
19,Trae Young,PG,WAS,39.86,70,22.8,2.9,10.8,1.1,0.2,4.3,"User-supplied projection from another user; original author and scoring settings unknown."
20,Bam Adebayo,PF/C,MIA,39.79,74,19.3,9.9,3.8,1.2,0.7,1.9,"User-supplied projection from another user; original author and scoring settings unknown."
21,Josh Giddey,PG/SG,CHI,39.38,70,16.3,8.5,8.4,1.2,0.6,3.3,"User-supplied projection from another user; original author and scoring settings unknown."
22,Pascal Siakam,PF/C,IND,39.35,72,23.2,7.2,3.8,1.1,0.5,1.9,"User-supplied projection from another user; original author and scoring settings unknown."
23,Jamal Murray,PG,DEN,39.18,73,23.2,4.1,6.5,1.1,0.4,2.1,"User-supplied projection from another user; original author and scoring settings unknown."
24,Jalen Brunson,PG,NYK,38.82,72,25.5,3.1,6.9,0.8,0.1,2.4,"User-supplied projection from another user; original author and scoring settings unknown."
25,LeBron James,SF/PF,PHI,38.72,60,20.3,6.2,7.4,1.0,0.5,3.0,"User-supplied projection from another user; original author and scoring settings unknown."
26,Domantas Sabonis,PF/C,SAC,38.57,70,17.0,12.3,5.2,0.7,0.3,2.6,"User-supplied projection from another user; original author and scoring settings unknown."
27,Tyrese Haliburton,PG/SG,IND,38.56,60,17.3,3.3,9.6,1.3,0.6,1.7,"User-supplied projection from another user; original author and scoring settings unknown."
28,Kevin Durant,SG/SF/PF,HOU,38.42,70,24.7,5.4,4.3,0.8,1.0,2.9,"User-supplied projection from another user; original author and scoring settings unknown."
29,Amen Thompson,PG/SG,HOU,38.18,76,18.1,7.9,4.2,1.5,1.0,2.2,"User-supplied projection from another user; original author and scoring settings unknown."
30,Franz Wagner,SF/PF,ORL,37.65,64,23.2,5.6,4.3,1.2,0.4,2.1,"User-supplied projection from another user; original author and scoring settings unknown."
